Znak,P1_1,P1_2,P2_1,P2_2,P3_1,P3_2,P4_1,P4_2,P5_1,P5_2
a,26632,9664,15292,15215,14941,16734,25285,14915,11470,14449
a,26632,9555,16661,16097,16352,16692,26571,16710,13814,14324
a,26632,8414,16595,15954,16470,16605,26602,16540,14012,14032
a,26631,9663,15292,15220,14941,16735,25259,14887,11450,14417
a,26631,9660,15292,15224,14941,16736,25206,14842,11419,14387
a,26631,9664,15294,15227,14945,16736,25148,14824,11402,14362
a,26631,9463,16687,16020,16388,16630,26567,16773,13814,14293
a,26630,9659,15285,15202,14935,16728,25429,14982,11522,14514
a,26630,9662,15291,15212,14939,16731,25295,14903,11465,14440
a,26630,8403,16591,15946,16467,16596,26601,16542,14010,14028
a,26629,23067,14772,14969,12835,16319,15887,13790,11406,13992
a,26629,9660,15074,14911,13927,15941,16399,14100,12545,13917
a,26627,9656,15283,15197,14934,16726,25475,15009,11541,14538
a,26627,9670,15297,15231,14947,16737,24320,14320,11057,13912
a,26627,9575,15070,14916,13927,15949,16402,14101,12548,13925
a,26627,9607,15075,14925,13928,15957,16354,14056,12503,25042
a,26626,9651,15282,15193,14931,16726,25510,15026,11553,14555
a,26626,9668,15295,15228,14946,16737,23789,13851,10930,13759
a,26625,9563,16657,16105,16349,16698,26572,16707,13814,14311
a,26622,9646,15279,15189,14929,16723,25551,15050,11572,14580
a,26622,9577,16654,16111,16345,16703,26571,16700,13813,14321
a,26619,9639,15279,15185,14928,16722,25581,15062,11580,14595
a,26616,10373,14945,14711,14609,16573,26229,15264,11674,14812
a,26614,9710,22026,26550,16576,20728,20258,15082,14154,16513
a,26611,10020,16040,26227,16711,20760,22889,14923,14600,15895
a,26610,9581,15258,15150,14912,16704,25893,15231,11706,14761
a,26610,9626,15275,15180,14926,16720,25627,15094,11603,14624
a,26609,9577,15256,15145,14911,16702,25915,15243,11713,14773
a,26609,9590,15264,15158,14919,16711,25823,15196,11681,14724
a,26608,9585,15263,15153,14916,16707,25871,15222,11697,14754
a,26608,9593,15266,15163,14920,16712,25806,15191,11674,14713
a,26608,9962,16015,24647,16671,20753,22895,14990,14242,16144
a,26607,9587,15262,15155,14916,16709,25846,15210,11686,14739
a,26606,9510,15072,14962,13930,15993,16429,14113,12552,13970
a,26605,9576,15252,15138,14906,16700,25945,15255,11722,14788
a,26605,9611,15272,15173,14924,16715,25738,15152,11648,14683
a,26605,9612,15273,15175,14925,16719,25714,15142,11639,14670
a,26605,9614,15273,15180,14928,16719,25686,15125,11624,14649
a,26603,9628,15075,14935,13928,15962,16412,14106,12549,13980
a,26601,23024,14615,15078,12827,16308,15983,13878,11468,14086
a,26601,9605,15271,15170,14923,16715,25762,15166,11658,14693
a,26600,9574,15254,15142,14909,16702,25928,15247,11719,14780
a,26598,9570,15248,15131,14901,16700,25957,15260,11725,14791
a,26598,9599,15269,15166,14923,16714,25781,15176,11665,14699
a,26596,23404,14793,14966,12848,16330,15929,13822,11418,14045
a,26594,10071,26690,26221,16385,20667,20008,14801,13007,16789
a,26593,9430,15075,14967,13935,15998,16379,14069,12507,24510
a,26591,9970,25980,21179,15966,20526,24055,14401,14916,16240
